名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
瑞达苑,浦东花木,梅花路230弄,72267, 板楼, 316户, 27栋, 商品房, 1995-1999年 , 0.8元/平米/月, 上海公益物业管理有限公司
兰花小区,浦东花木,玉兰路127弄1-22号,76111, 板楼, 360户, 22栋, 商品房/动迁安置房, 1993-1997年 , 0.45至1元/平米/月, 上海田丰物业管理有限公司
影城小筑,浦东花木,"花木路830弄,花木路566弄（旧）",82237, 板楼, 50户, 5栋, 商品房/使用权, 1999-2000年 , 0.5元/平米/月, 上海花木物业
建华钻石公寓,浦东花木,海桐路336弄,98939, 板楼, 64户, 2栋, 商品房, 2008年 , 2至3元/平米/月, 上海勤乐物业管理有限公司
樱花坊,浦东花木,牡丹路418弄,81894, 板楼, 288户, 24栋, 商品房/使用权, 1995-1996年 , 0.8元/平米/月, 上海勤乐物业管理有限公司
牡丹路399弄,浦东花木,牡丹路399弄,86253, 板楼, 252户, 21栋, 商品房/动迁安置房, 1994-1996年 , 0.5元/平米/月, 上服物业
浦东星河湾,浦东花木,锦绣路2580弄,133314, 板楼, 1306户, 33栋, 商品房/使用权, 2009-2016年 , 4.9元/平米/月, 广州星河湾物业管理服务有限公司上海分公司
玉兰路57弄,浦东花木,玉兰路57弄,74721, 板楼, 30户, 2栋, 商品房/使用权, 1989-1994年 , 0.34元/平米/月, 上海建工物业有限公司
古北御庭,浦东花木,"龙汇路55弄, 龙汇路29号",123716, 板楼, 502户, 11栋, 商品房, 2013年 , 4.5元/平米/月, 古北物业
新领地,浦东花木,杜鹃路188弄,49173, 塔楼, 716户, 2栋, 商品房/使用权, 2002年 , 1.35元/平米/月, 无
浦东世纪花园(公寓),浦东花木,"银霄路39弄，银霄路100弄, 梅花路839号, 银霄路100弄1-30号",103813, 板楼, 558户, 22栋, 商品房/使用权, 2002-2005年 , 2.8至3.8元/平米/月, 上海上实物业管理有限公司
新领地,浦东花木,杜鹃路188弄,49173, 塔楼, 716户, 2栋, 商品房/使用权, 2002年 , 1.35元/平米/月, 无
浦东世纪花园(公寓),浦东花木,"银霄路39弄，银霄路100弄, 梅花路839号, 银霄路100弄1-30号",103813, 板楼, 558户, 22栋, 商品房/使用权, 2002-2005年 , 2.8至3.8元/平米/月, 上海上实物业管理有限公司
玉兰路81弄,浦东花木,玉兰路81弄,87159, 板楼, 316户, 18栋, 商品房/动迁安置房, 2007年 , 0.35元/平米/月, 上海建工物业有限公司
牡丹路186弄,浦东花木,牡丹路186弄,76496, 板楼, 403户, 22栋, 商品房/动迁安置房, 1993-1996年 , 0.35元/平米/月, 方圆置业物业管理公司
樱花路89弄,浦东花木,樱花路89弄,82750, 板楼, 276户, 15栋, 商品房/动迁安置房, 2006年 , 0.35至0.8元/平米/月, 上海方圆物业管理有限公司
玉兰路46弄,浦东花木,玉兰路46弄,68500, 板楼, 96户, 8栋, 商品房, 1993-1995年 , 0.25至0.3元/平米/月, 上海方圆物业管理有限公司
梅花新村(花木),浦东花木,龙东路55弄（杜鹃路55弄）,71915, 板楼, 366户, 29栋, 商品房/动迁安置房, 1994-1996年 , 0.35至0.5元/平米/月, 众城物业管理有限公司
大唐盛世花园（二期）,浦东花木,"樱花路801弄，樱花路802弄，白杨路199弄, 樱花路05.08号, 樱花路802弄1-33号, 兰花路213号, 樱花路823、827号, 樱花路801弄1-29号, 樱花路801弄30号",112555, 板楼/塔板结合, 847户, 29栋, 商品房/使用权, 2004-2008年 , 2.15元/平米/月, 上海同涞物业管理有限公司
古北御庭,浦东花木,"龙汇路55弄, 龙汇路29号",123716, 板楼, 502户, 11栋, 商品房, 2013年 , 4.5元/平米/月, 古北物业
玉兰路57弄,浦东花木,玉兰路57弄,74721, 板楼, 30户, 2栋, 商品房/使用权, 1989-1994年 , 0.34元/平米/月, 上海建工物业有限公司
杏花新苑,浦东花木,"杜鹃路150弄, 龙东路150弄",71438, 板楼, 193户, 12栋, 商品房, 1934-1996年 , 1元/平米/月, 上海建工物业有限公司
牡丹苑(浦东),浦东花木,牡丹路89弄,79011, 板楼, 282户, 24栋, 商品房, 1999年 , 0.8元/平米/月, 上海花城物业管理发展有限公司
建华新苑,浦东花木,梅花路777弄1-18号,98397, 板楼, 444户, 13栋, 商品房/使用权, 2003年 , 1.83至1.85元/平米/月, 上海公益物业管理有限公司
盛第大厦,浦东花木,"玉兰路8号, 玉兰路16号",0, 板楼, 467户, 3栋, 商品房/使用权, 1995-1996年 , 4.3元/平米/月, 上海信盛置业有限公司
绿缘公寓,浦东花木,花木路718弄5-14号,85696, 板楼/塔板结合, 710户, 13栋, 商品房/使用权, 2000年 , 1.35元/平米/月, 上服物业
雍景台,浦东花木,"花木路908号,花木路868号,花木路886号",102385, 板楼, 145户, 3栋, 商品房, 2000-2006年 , 5.2至5.85元/平米/月, 复欣物业
维奇特大厦,浦东花木,浦建路1143号,0, 塔楼, 468户, 1栋, 商品房, 2006年 , 3元/平米/月, 上海嘉轩物业管理有限公司
梅花苑,浦东花木,梅花路180弄1-20号,61857, 板楼, 240户, 20栋, 商品房/动迁安置房/使用权, 1995-1997年 , 0.35至0.5元/平米/月, 上海公益物业管理有限公司
六街坊小区,浦东花木,梅花路768弄,87775, 板楼, 412户, 30栋, 商品房/动迁安置房/使用权, 2000年 , 0.34至0.35元/平米/月, 上海勤乐物业管理有限公司
瑞达苑,浦东花木,梅花路230弄,72267, 板楼, 316户, 27栋, 商品房, 1995-1999年 , 0.8元/平米/月, 上海公益物业管理有限公司
玉兰路71弄,浦东花木,玉兰路71弄,73701, 板楼, 48户, 3栋, 商品房, 1992-1995年 , 0.34至0.35元/平米/月, 花木物业
锦绣前程阳光苑,浦东花木,杜鹃路58弄,89325, 板楼, 166户, 8栋, 商品房, 2008年 , 1.65元/平米/月, 上海浦东新区花木物业公司
建华钻石公寓,浦东花木,海桐路336弄,98939, 板楼, 64户, 2栋, 商品房, 2008年 , 2至3元/平米/月, 上海勤乐物业管理有限公司
浦东星河湾,浦东花木,锦绣路2580弄,133314, 板楼, 1306户, 33栋, 商品房/使用权, 2009-2016年 , 4.9元/平米/月, 广州星河湾物业管理服务有限公司上海分公司
四季全景台,浦东花木,花木路916弄,111411, 板楼, 441户, 4栋, 商品房, 2005-2006年 , 2.15至3.15元/平米/月, 富宁物业
玉兰路99弄,浦东花木,玉兰路99弄,76222, 板楼, 90户, 4栋, 商品房/使用权, 1990-1994年 , 0.35元/平米/月, 建工物业
影城小筑,浦东花木,"花木路830弄,花木路566弄（旧）",82237, 板楼, 50户, 5栋, 商品房/使用权, 1999-2000年 , 0.5元/平米/月, 上海花木物业
樱花坊,浦东花木,牡丹路418弄,81894, 板楼, 288户, 24栋, 商品房/使用权, 1995-1996年 , 0.8元/平米/月, 上海勤乐物业管理有限公司
牡丹路399弄,浦东花木,牡丹路399弄,86253, 板楼, 252户, 21栋, 商品房/动迁安置房, 1994-1996年 , 0.5元/平米/月, 上服物业
樱花路309弄,浦东花木,樱花路309弄,97375, 板楼, 204户, 17栋, 商品房/售后公房/动迁安置房, 2006年 , 0.4元/平米/月, 上海勤乐物业管理有限公司
四季全景台,浦东花木,花木路916弄,111411, 板楼, 441户, 4栋, 商品房, 2005-2006年 , 2.15至3.15元/平米/月, 富宁物业
盛第大厦,浦东花木,"玉兰路8号, 玉兰路16号",0, 板楼, 467户, 3栋, 商品房/使用权, 1995-1996年 , 4.3元/平米/月, 上海信盛置业有限公司
梅花苑,浦东花木,梅花路180弄1-20号,61857, 板楼, 240户, 20栋, 商品房/动迁安置房/使用权, 1995-1997年 , 0.35至0.5元/平米/月, 上海公益物业管理有限公司
杏花新苑,浦东花木,"杜鹃路150弄, 龙东路150弄",71438, 板楼, 193户, 12栋, 商品房, 1934-1996年 , 1元/平米/月, 上海建工物业有限公司
银亿公园壹号,浦东花木,花木路826号,153306, 板楼, 100户, 2栋, 商品房/动迁安置房, 2018-2019年 , 9.8元/平米/月, 上海丰城物业有限公司
浦东世纪花园（二期）,浦东花木,银霄路39弄,109070, 板楼, 651户, 11栋, 商品房, 2005年 , 3.8至5.5元/平米/月, 暂无信息
大唐盛世花园(三期),浦东花木,樱花路永达国际大厦西北侧约270米,119862, 板楼/塔板结合, 689户, 32栋, 商品房/使用权/私产, 2003-2008年 , 2.35至3.25元/平米/月, 上海同涞物业管理有限公司
牡丹小区(浦东),浦东花木,"牡丹路145弄, 牡丹路165弄, 牡丹路225弄",74357, 板楼, 1271户, 95栋, 商品房/动迁安置房/使用权, 1993-1998年 , 0.3至0.35元/平米/月, 上海方圆物业管理有限公司
金桂小区,浦东花木,"牡丹路258弄1-26号, 牡丹路340弄, 牡丹路259弄",82584, 板楼, 1092户, 73栋, 商品房/售后公房/动迁安置房/使用权, 1993-1997年 , 0.3至1元/平米/月, 上海花木物业
花木苑,浦东花木,花木路500弄,83720, 板楼, 1922户, 151栋, 商品房/动迁安置房, 2000-2003年 , 0.5至1.2元/平米/月, 上海花木物业
陆家嘴锦绣前城,浦东花木,锦绣路2466弄,116718, 板楼, 2080户, 52栋, 商品房/使用权, 2015-2018年 , 4.3至4.6元/平米/月, 上海市陆家嘴物业管理有限公司
银良公寓,浦东花木,玉兰路60弄,60107, 塔楼, 144户, 1栋, 商品房, 1997年 , 1.5元/平米/月, 上海颐人物业管理有限公司
海桐苑,浦东花木,"海桐路61弄,海桐路73弄",87553, 板楼, 632户, 54栋, 商品房/动迁安置房, 1995-2000年 , 0.5至0.6元/平米/月, 上海花木物业
建华公寓,浦东花木,"花木路718弄, 花木路788弄, 花木路828弄, 花木路718弄1-4号",78259, 板楼, 635户, 44栋, 商品房/动迁安置房/使用权, 1994-2000年 , 0.35至1元/平米/月, 上海勤乐物业管理有限公司
大唐盛世花园（一期）,浦东花木,白杨路199弄1~30号,114834, 板楼, 736户, 30栋, 商品房/使用权, 2003-2008年 , 2.15元/平米/月, 暂无信息
海桐小区,浦东花木,海桐路68弄,85537, 板楼, 516户, 43栋, 商品房/动迁安置房, 1999年 , 0.35至0.6元/平米/月, 花木物业有限公司
花木绿城锦绣兰庭,浦东花木,浦建路1399弄,136695, 板楼, 842户, 14栋, 商品房/使用权, 2015年 , 4.5元/平米/月, 绿城物业
博览汇商业广场,浦东花木,"梅花路1099号, 梅花路1079号",0, 板楼, 56户, 3栋, 商品房/使用权, 2009年 , 暂无信息, 暂无信息
浦东世纪花园(别墅),浦东花木,银霄路39弄,0, 板楼, 22户, 22栋, 商品房/动迁安置房, 2006年 , 3.8元/平米/月, 上海浦东物业管理公司
瑞达新苑,浦东花木,樱花路515弄,107527, 板楼, 112户, 8栋, 商品房, 2005年 , 1.3至2.7元/平米/月, 上海陆家嘴物业管理有限公司
樱花路810号,浦东花木,樱花路810号,0, 未知类型, 3户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
梅花路999弄19号,浦东花木,梅花路999弄19号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
传说九九会所,浦东花木,芳甸路1070号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
梅花路999弄6号,浦东花木,梅花路999弄6号,0, 板楼, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
玉兰路08号,浦东花木,玉兰路08号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
杜鹃路205号,浦东花木,杜鹃路205号,0, 未知类型, 2户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
银霄路280号,浦东花木,银霄路280号,0, 未知类型, 6户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
樱花路822号,浦东花木,樱花路822号,0, 未知类型, 4户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
白杨路86号,浦东花木,白杨路86号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
丽晶博园,浦东花木,海桐路350弄1-2号,0, 板楼, 200户, 2栋, 商品房, 2003年 , 3.5元/平米/月, 暂无信息
花木路1099号,浦东花木,花木路1099号,0, 未知类型, 2户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
金地城三期御领,浦东惠南,靖海路547弄,36806, 板楼, 456户, 17栋, 商品房, 2013-2016年 , 1.6至2.3元/平米/月, 暂无信息
惠丰园小区,浦东惠南,惠丰园小区,27928, 板楼, 154户, 13栋, 商品房/使用权, 1994-1996年 , 0.3元/平米/月, 上海鑫源物业公司
彩虹新村,浦东惠南,彩虹新村,23026, 板楼, 222户, 19栋, 商品房/使用权, 1997-1999年 , 0.36元/平米/月, 上海彩虹房屋物业管理有限公司
振兴新村,浦东惠南,振兴新村,22653, 板楼, 74户, 7栋, 商品房/使用权, 1985-1988年 , 0.3至0.6元/平米/月, 自主物业
车站南路12号,浦东惠南,车站南路12号,19981, 板楼, 92户, 6栋, 商品房/使用权, 1994年 , 0.3元/平米/月, 上海南汇惠房物业管理有限公司
育新新村,浦东惠南,育新新村,28743, 板楼, 119户, 7栋, 商品房/使用权, 1981-1989年 , 0.2元/平米/月, 上海新东门物业管理有限公司
文化新村(惠南),浦东惠南,文化新村,25214, 塔楼/板楼, 212户, 21栋, 商品房/使用权, 1982-1995年 , 0.6元/平米/月, 上海图锦物业有限公司
乐源城,浦东惠南,人民东路2635弄57支弄,29447, 板楼, 240户, 26栋, 商品房/动迁安置房/使用权, 2006年 , 0.5至1.5元/平米/月, 自主物业
昌乐公寓,浦东惠南,亦园路75弄,18093, 板楼, 35户, 4栋, 商品房, 1998年 , 0.2元/平米/月, 上海宣桥物业管理有限公司
联谊新寓,浦东惠南,人民东路3029弄,24282, 板楼, 162户, 17栋, 商品房, 2002-2004年 , 0.6至0.8元/平米/月, 庆国物业
海燕大厦,浦东惠南,东门大街197号,22411, 板楼/平房, 94户, 9栋, 商品房/动迁安置房, 1997-2003年 , 0.5至0.8元/平米/月, 中海物业
桃花源一村,浦东惠南,拱极路3335弄,26889, 板楼, 865户, 73栋, 商品房/动迁安置房/使用权, 1994-2006年 , 0.5元/平米/月, 上海南汇惠房物业管理有限公司
城基路148弄,浦东惠南,城基路148弄,20435, 板楼, 60户, 6栋, 商品房, 2004年 , 0.8元/平米/月, 惠康物业
申达新村,浦东惠南,申达新村,24602, 板楼, 108户, 9栋, 商品房, 1995-1996年 , 0.3至1.7元/平米/月, 上海建政物业
良丰新村,浦东惠南,惠东路243弄,21773, 板楼, 69户, 8栋, 商品房/动迁安置房, 1999年 , 0.3元/平米/月, 庆国物业
卫星东路50弄,浦东惠南,卫星东路50弄,28576, 板楼, 88户, 4栋, 商品房/使用权, 1978年 , 0.3元/平米/月, 上海南汇惠房物业管理有限公司
禹洲商业广场,浦东惠南,"沪南公路9936弄, 沪南公路9928号, 沪南公路9900号",0, 塔楼, 1453户, 11栋, 商品房/已购公房/使用权, 2015年 , 3.5元/平米/月, 深圳华侨城物业管理有限公司
绿缘新村,浦东惠南,海燕路188弄,21755, 板楼, 98户, 8栋, 商品房/动迁安置房, 1995年 , 0.1元/平米/月, 无
乐源城C区,浦东惠南,人民东路2437弄1支弄,25411, 板楼, 228户, 23栋, 商品房, 2006年 , 0.6元/平米/月, 上海南汇惠房物业管理有限公司
惠北新村,浦东惠南,惠北新村,26504, 板楼, 193户, 15栋, 商品房/使用权, 1982-1984年 , 0.5元/平米/月, 上海南汇惠房物业管理有限公司
十字街大楼,浦东惠南,惠南镇十字街大楼,23342, 板楼, 259户, 16栋, 商品房/使用权, 1974-1999年 , 0.9元/平米/月, 暂无信息
西潭新村,浦东惠南,西潭新村,24705, 板楼, 146户, 10栋, 商品房/动迁安置房/使用权, 1977-1995年 , 0.5元/平米/月, 上海南汇惠房物业管理有限公司
东城华都,浦东惠南,靖海路525弄,29209, 板楼, 314户, 30栋, 商品房, 2004年 , 0.8至1.2元/平米/月, 自主物业
南田公寓,浦东惠南,南田公寓,23661, 板楼, 78户, 8栋, 商品房/使用权, 1996-1997年 , 0.3元/平米/月, 上海鑫源物业公司
水利新村,浦东惠南,水利新村,27215, 板楼, 109户, 10栋, 商品房/动迁安置房, 1979-1998年 , 0.5元/平米/月, 万达物业
东卫小区,浦东惠南,靖海路128弄,21798, 板楼, 110户, 11栋, 商品房/使用权, 2003年 , 0.7元/平米/月, 赢浦置业
惠东路300弄,浦东惠南,惠东路300弄,19212, 板楼, 84户, 10栋, 商品房/售后公房/使用权, 1996年 , 0.8元/平米/月, 上海南汇惠房物业管理有限公司
英雄路51弄,浦东惠南,英雄路51弄,28380, 板楼, 24户, 24栋, 商品房, 1995-2003年 , 暂无信息, 暂无信息
惠房苑,浦东惠南,"向阳西路240弄, 向阳路208号",24188, 板楼, 86户, 8栋, 商品房/使用权, 1976-2005年 , 暂无信息, 暂无信息
供销三村,浦东惠南,供销三村,25676, 板楼, 40户, 6栋, 商品房, 1982-1984年 , 暂无信息, 上海南汇惠房物业管理有限公司
乐源城B区,浦东惠南,人民东路2523弄45支弄,28213, 板楼, 200户, 22栋, 商品房/动迁安置房, 2006年 , 0.6元/平米/月, 自主物业
梅花新村(惠南),浦东惠南,梅花新村,25619, 板楼, 309户, 31栋, 商品房/使用权, 1993-1996年 , 0.4元/平米/月, 上海彩虹房屋物业管理有限公司
东门路48号,浦东惠南,东门路48号,18443, 板楼, 44户, 4栋, 商品房, 1997年 , 暂无信息, 上海南汇惠房物业管理有限公司
华钜御庭(三期),浦东惠南,拱北路399弄29支弄,45089, 板楼, 348户, 77栋, 商品房, 2014年 , 1.4至1.7元/平米/月, 普陀物业
惠益新苑南苑,浦东惠南,拱为路2600弄,27141, 塔楼/板楼, 453户, 8栋, 商品房/动迁安置房/使用权, 2014年 , 0.8至1.2元/平米/月, 中建物业
建南新村,浦东惠南,工农南路201弄,24500, 板楼, 121户, 48栋, 商品房/使用权, 2001年 , 暂无信息, 上海南汇惠房物业管理有限公司
百乐公寓(惠南),浦东惠南,北门大街188弄,25146, 板楼, 244户, 15栋, 商品房, 2002-2005年 , 0.7元/平米/月, 上海联讯物业管理有限公司
华钜御庭(二期),浦东惠南, 拱北路289弄29支弄,38202, 板楼, 788户, 22栋, 商品房, 2011年 , 2.2元/平米/月, 徐虎物业
汇南村,浦东惠南,汇南村,25767, 板楼, 8户, 8栋, 商品房/使用权, 2019年 , 暂无信息, 暂无信息
文益街7号,浦东惠南,文益街7号,0, 板楼, 631户, 1栋, 商品房, 2009年 , 1.6元/平米/月, 暂无信息
华观商住楼,浦东惠南,"三角街61弄, 三角街75弄, 三角街87弄",20497, 板楼, 80户, 10栋, 商品房/售后公房/使用权, 2004年 , 暂无信息, 暂无信息
人民东路2729弄,浦东惠南,人民东路2729弄,19307, 板楼, 40户, 5栋, 商品房/动迁安置房, 2000-2002年 , 1.1元/平米/月, 自主物业
城南东路154弄,浦东惠南,城南东路154弄,17274, 板楼, 32户, 5栋, 商品房, 1997年 , 暂无信息, 暂无信息
东门路500弄,浦东惠南,东门路500弄,21750, 板楼, 50户, 7栋, 商品房/使用权, 2002年 , 暂无信息, 暂无信息
方糖公寓,浦东惠南,听潮南路958弄25号,0, 塔楼, 369户, 4栋, 商品房/使用权, 2015年 , 暂无信息, 暂无信息
中园大楼,浦东惠南,中园大楼,22060, 板楼, 60户, 1栋, 商品房/使用权, 1990年 , 0.48元/平米/月, 上海南汇惠房物业管理有限公司
农场路13号,浦东惠南,农场路13号,24151, 板楼, 30户, 2栋, 商品房, 1983-1992年 , 暂无信息, 暂无信息
长城珑湾,浦东惠南,"观海路999弄, 观海路951号",37847, 塔楼/板楼, 498户, 28栋, 商品房/使用权, 2012年 , 2.8元/平米/月, 长城物业集团股份有限公司上海分公司
浦东微谷,浦东惠南,"拱极路2626弄42号, 拱极路2626弄38号, 拱北路313弄3支弄, 惠南镇拱北路和川南奉公路交界东南侧",0, 塔楼, 446户, 4栋, 商品房/限价商品房/使用权, 2011年 , 5.8元/平米/月, 上海诚成物业管理有限公司
城东大楼,浦东惠南,城东路6号,21649, 板楼, 15户, 1栋, 商品房, 1990年 , 暂无信息, 上海南汇惠房物业管理有限公司
华盛小区,浦东惠南,华盛小区,28732, 板楼, 90户, 5栋, 商品房/使用权, 1997-2000年 , 暂无信息, 暂无信息
三八路110弄,浦东惠南,"三八路110弄, 东门大街193弄",22445, 板楼, 35户, 6栋, 商品房/使用权, 2003年 , 0.5元/平米/月, 上海南汇惠房物业管理有限公司
甬申金地城,浦东惠南,靖海路547弄,31422, 板楼, 1264户, 144栋, 商品房/动迁安置房/使用权, 2005-2016年 , 0.7至1.45元/平米/月, 暂无信息
成功家园(公寓),浦东惠南,人民西路1559弄,24523, 板楼, 82户, 8栋, 商品房, 2010年 , 1.5元/平米/月, 上海怡东物业管理有限公司
桃源二村,浦东惠南, 拱极路3288弄,25234, 板楼, 307户, 31栋, 商品房/动迁安置房/使用权, 1994-2012年 , 0.8元/平米/月, 上海彩虹房屋物业管理有限公司
申云小区,浦东惠南,"城南路260弄, 广衍路18弄, 广衍路17弄, 城南路198号",24711, 板楼, 414户, 40栋, 商品房/动迁安置房/使用权, 1998-2001年 , 0.8元/平米/月, 上海南汇惠房物业管理有限公司
欣欣苑,浦东惠南,南门路88弄,22595, 板楼, 60户, 6栋, 商品房, 2004年 , 0.55元/平米/月, 上海宣桥物业管理有限公司
繁新苑,浦东惠南,"沿河泾南路180弄, 东门大街73弄, 沿河泾南路181弄",23977, 板楼, 60户, 7栋, 商品房/使用权/私产, 2005年 , 0.3元/平米/月, 暂无信息
惠南一方新城,浦东惠南,迎薰路222弄,30944, 板楼, 952户, 55栋, 商品房/动迁安置房, 2008-2013年 , 1.1至1.28元/平米/月, 磁华物业
锦园坊,浦东惠南,南园路455弄,22740, 板楼, 428户, 24栋, 商品房/动迁安置房, 2007年 , 0.4至0.8元/平米/月, 自主物业
惠东路281号,浦东惠南,惠东路281号,20616, 未知类型, 3户, 1栋, 商品房, 1995年 , 暂无信息, 暂无信息
科教园区大学城生活区,浦东惠南,拱北路南汇大学城宿舍楼,14753, 塔楼/板楼, 1139户, 8栋, 商品房/经济适用房/动迁安置房/使用权, 2001-2002年 , 0.95至1元/平米/月, 暂无信息
中科金地华韵,浦东惠南,靖海路547号,37811, 板楼, 829户, 52栋, 商品房, 2019年 , 1.4至2.2元/平米/月, 上海隆庆物业管理有限公司
广衍路7弄,浦东惠南,广衍路7弄,21332, 板楼, 20户, 2栋, 商品房, 1998年 , 暂无信息, 暂无信息
东城靖海苑,浦东惠南,靖海路239弄32支弄,26647, 板楼, 52户, 17栋, 商品房/使用权, 2005年 , 1.1元/平米/月, 上海南汇惠房物业管理有限公司
南亚苑,浦东惠南,靖海苑2785弄,0, 未知类型, 7户, 2栋, 商品房/使用权, 2005年 , 20元/平米/月, 暂无信息
梅花路169弄,浦东惠南,梅花路169弄,19796, 板楼, 106户, 11栋, 商品房/使用权, 1999-2000年 , 0.6元/平米/月, 暂无信息
城基路155弄,浦东惠南,城基路155弄,0, 板楼, 16户, 2栋, 商品房, 1997年 , 0.4元/平米/月, 无
梅花路138弄,浦东惠南,梅花路138弄,0, 板楼, 40户, 5栋, 商品房, 1999-2002年 , 0.5元/平米/月, 自主物业
城南路43号,浦东惠南,城南路43号,0, 板楼, 20户, 1栋, 商品房, 1983年 , 暂无信息, 暂无信息
人民东路2785弄,浦东惠南,人民东路2785弄,19336, 板楼, 44户, 5栋, 商品房, 1999-2000年 , 2元/平米/月, 自主物业
人民东路2823弄,浦东惠南,人民东路2823弄,24514, 板楼, 24户, 3栋, 商品房, 2000年 , 1.3元/平米/月, 上海彩虹房屋物业管理有限公司
卫星东路20号,浦东惠南,卫星东路20号,27473, 板楼, 18户, 1栋, 商品房, 1993年 , 暂无信息, 暂无信息
梅花路168弄,浦东惠南,梅花路168弄,0, 板楼, 20户, 2栋, 商品房, 1999年 , 0.9元/平米/月, 暂无信息
金汇广场(二期),浦东惠南,卫星东路113弄,23528, 板楼, 74户, 7栋, 商品房, 2007年 , 0.6元/平米/月, 上海景珠物业管理经营有限公司
中洲珑玺台,浦东惠南,拱北路111弄（四期）,0, 板楼, 237户, 6栋, 商品房/使用权, 暂无信息 , 3元/平米/月, 暂无信息
三八小区,浦东惠南,三八路94弄,0, 板楼, 48户, 4栋, 商品房/使用权, 2003年 , 暂无信息, 暂无信息
黄富新村,浦东惠南,海燕路98号,0, 板楼, 60户, 6栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
南城苑,浦东惠南,福汇路62弄,0, 板楼, 45户, 9栋, 商品房, 2004年 , 0.6至0.8元/平米/月, 暂无信息
西乐路273弄,浦东惠南,西乐路273弄,0, 板楼, 26户, 3栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
宣黄公路2654号,浦东惠南,宣黄公路2654号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
城基路242号,浦东惠南,城基路242号,0, 板楼, 20户, 1栋, 商品房/使用权, 1987年 , 暂无信息, 暂无信息
红东新村,浦东惠南,红东新村,0, 板楼, 24户, 2栋, 商品房, 1979年 , 暂无信息, 暂无信息
拱极路2373号,浦东惠南,拱极路2373号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
迎薰路1205号,浦东惠南,迎薰路1205号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
迎薰路1203号,浦东惠南,迎薰路1203号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
向阳东路27号,浦东惠南,向阳东路27号,0, 未知类型, 9户, 1栋, 商品房, 1999年 , 暂无信息, 暂无信息
广衍路63弄,浦东惠南,广衍路63弄,0, 板楼, 2户, 2栋, 商品房, 1997年 , 暂无信息, 暂无信息
工农南路59弄,浦东惠南,工农南路59弄,0, 板楼, 18户, 3栋, 商品房, 2004年 , 暂无信息, 暂无信息
城南路25号,浦东惠南,城南路25号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
海燕大厦(商铺),浦东惠南,东门大街197号,0, 未知类型, 2户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
城东路759弄42号,浦东惠南,城东路759弄42号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
城南路960号,浦东惠南,城南路960号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
拱北路2329号,浦东惠南,拱北路2329号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
解放路54号,浦东惠南,解放路54号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
西门大街37号,浦东惠南,西门大街37号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
人民东路2523弄51号,浦东惠南,人民东路2523弄51号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
盐大路2685弄24号,浦东惠南,盐大路2685弄24号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
盐大路2685弄23号,浦东惠南,盐大路2685弄23号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
拱极路3914号,浦东惠南,拱极路3914号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
北门路41弄10号,浦东惠南,北门路41弄10号,0, 未知类型, 2户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
靖海路313号,浦东惠南,靖海路313号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
黄家路85号(惠南),浦东惠南,惠南黄家路85号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
